customer_id,month,data_usage_mb,login_attempts,bill_amount,payment_delay_days,network_latency_ms,packet_loss_percent,download_speed_mbps,churn_next_month
1,1,537.96,25,45.99,4,47.66,1.2,88.38,0
1,2,521.1,23,41,12,40.76,0.86,116.33,0
1,3,528.27,20,49.17,11,42.58,1.03,89.11,0
1,4,492.12,24,47.16,1,53.76,1.9,87.99,0
1,5,519.59,24,42.51,11,68.52,0.99,116.45,0
1,6,560.11,27,49.47,3,30.4,0.37,114.77,1
2,1,331.76,20,37.23,12,41.19,1.6,86.46,0
2,2,450.64,12,32.62,10,59.31,0.15,83.22,0
2,3,415.65,13,28.19,0,59.76,0.13,77.87,0
2,4,439.72,14,38.09,0,63.56,0.77,81.32,0
2,5,368.35,14,29.04,14,53.33,1.79,152.67,0
2,6,359.99,18,38.29,12,54.24,1.08,132.46,0
3,1,332.56,17,57.29,6,36.01,1.79,85.96,0
3,2,333.7,11,57.75,12,35.36,1.72,100.1,0
3,3,282.53,10,60.95,9,45.79,0.68,96.77,0
3,4,447.61,8,58.79,13,51.75,1.94,61.62,0
3,5,356.31,13,60.43,6,74.63,0.56,96.15,0
3,6,351.57,13,62.79,6,38.31,1.34,84.49,1
4,1,590.75,19,31.22,3,44.34,0.65,114.36,0
4,2,613.47,23,23.63,3,60.97,1.88,108.56,0
4,3,664.38,25,37.96,8,59.26,0.42,137.45,0
4,4,609,25,34.95,3,44.78,1.06,93.51,0
4,5,568.28,19,42.07,2,61.91,1.45,112.35,0
4,6,651.59,19,26.31,13,58.47,1.88,97.14,1
5,1,542.88,10,49.77,11,59.58,1.02,73.63,0
5,2,515.31,12,41.93,5,50.59,1.81,61.27,0
5,3,567.74,10,46.01,4,61.72,0.46,155.68,0
5,4,498.94,14,45.8,5,51.91,0.74,109.46,0
5,5,457.17,16,39.94,0,34.85,0.63,104.28,0
5,6,508.17,17,40.45,13,53.85,0.19,101.16,0
6,1,632.5,20,65.02,1,43.96,1.73,100.48,0
6,2,659.11,18,61.54,7,50.07,1.4,104.65,0
6,3,529.62,19,58.39,6,34.99,1.34,81.73,0
6,4,566.61,27,62.79,5,55.96,0.61,60.17,0
6,5,560.18,22,57.4,6,57.77,0.17,100.91,0
6,6,694.44,21,50.71,12,56.34,1.94,73.84,0
7,1,408.31,16,43.19,0,51.57,0.88,93.61,0
7,2,440.28,11,41.25,5,72.45,1.46,101.73,0
7,3,392.73,7,53.58,13,47.37,1.71,95.25,0
7,4,425.76,13,37.72,3,40.67,0.35,60.1,0
7,5,503.88,8,55.96,3,63.23,0.75,101.17,0
7,6,446.98,10,46.87,7,59.1,1.89,123.45,1
8,1,339.31,18,53.08,12,55.91,0.19,90.27,0
8,2,440.81,26,50.27,13,45.35,1.63,87.56,0
8,3,444.16,24,54.52,3,64.53,0.84,101.01,0
8,4,480.48,19,49.3,0,31.26,1.46,92.64,0
8,5,448.74,21,56.11,11,52.29,0.86,116.51,0
8,6,461.83,22,51.39,12,50.21,1.79,106.48,0
9,1,751.48,17,60.61,4,38.03,1.58,86.02,0
9,2,586.73,20,67.44,12,67.7,0.7,112.28,0
9,3,669.57,15,58.27,10,52.04,1.41,123.09,0
9,4,658.02,16,64.81,12,63.6,0.76,79.61,0
9,5,655.02,15,64.49,11,31.24,1.14,117.04,0
9,6,718.97,16,48.36,12,57.33,0.48,89.01,1
