customer_id,month,policy_start,months_to_renewal,customer_age,vehicle_value,has_claimed,claim_processing_days,vehicle_changed,renewal_status,churn_next_month
1,1,9/27/2020,6,63,25795,0,,0,Pending,0
1,2,9/27/2020,5,63,25795,0,,0,Pending,0
1,3,9/27/2020,4,63,25795,0,,0,Pending,0
1,4,9/27/2020,3,63,25795,0,,1,Pending,0
1,5,9/27/2020,2,63,25795,0,,0,Pending,0
1,6,9/27/2020,1,63,25795,0,,0,Renewed,0
2,1,2/28/2020,6,68,37480,0,,0,Pending,0
2,2,2/28/2020,5,68,37480,1,41.34069307,0,Pending,0
2,3,2/28/2020,4,68,37480,1,36.39041605,0,Pending,0
2,4,2/28/2020,3,68,37480,0,,0,Pending,0
2,5,2/28/2020,2,68,37480,0,,0,Pending,0
2,6,2/28/2020,1,68,37480,0,,0,Renewed,1
3,1,9/20/2020,6,52,33483,0,,0,Pending,0
3,2,9/20/2020,5,52,33483,0,,0,Pending,0
3,3,9/20/2020,4,52,33483,1,37.62973718,0,Pending,0
3,4,9/20/2020,3,52,33483,1,39.74732025,0,Pending,0
3,5,9/20/2020,2,52,33483,1,25.30897805,0,Pending,0
3,6,9/20/2020,1,52,33483,0,,0,Not Renewed,1
4,1,5/15/2020,6,31,12568,0,,0,Pending,0
4,2,5/15/2020,5,31,12568,0,,0,Pending,0
4,3,5/15/2020,4,31,12568,1,62.27779403,0,Pending,0
4,4,5/15/2020,3,31,12568,0,,0,Pending,0
4,5,5/15/2020,2,31,12568,0,,0,Pending,0
4,6,5/15/2020,1,31,12568,0,,1,Renewed,1
5,1,1/5/2020,6,38,37266,0,,0,Pending,0
5,2,1/5/2020,5,38,37266,0,,0,Pending,0
5,3,1/5/2020,4,38,37266,0,,0,Pending,0
5,4,1/5/2020,3,38,37266,0,,0,Pending,0
5,5,1/5/2020,2,38,37266,0,,0,Pending,0
5,6,1/5/2020,1,38,37266,0,,0,Renewed,1
6,1,8/30/2020,6,56,26198,0,,0,Pending,0
6,2,8/30/2020,5,56,26198,1,45.14388748,0,Pending,0
6,3,8/30/2020,4,56,26198,1,45.71784774,0,Pending,0
6,4,8/30/2020,3,56,26198,1,27.09866161,0,Pending,0
6,5,8/30/2020,2,56,26198,1,65.43714544,0,Pending,0
6,6,8/30/2020,1,56,26198,0,,0,Renewed,1
7,1,11/10/2020,6,68,10663,0,,0,Pending,0
7,2,11/10/2020,5,68,10663,1,37.53874675,0,Pending,0
7,3,11/10/2020,4,68,10663,0,,0,Pending,0
7,4,11/10/2020,3,68,10663,0,,0,Pending,0
7,5,11/10/2020,2,68,10663,0,,0,Pending,0
7,6,11/10/2020,1,68,10663,0,,0,Not Renewed,1
