broadband_number,data_usage_mb,login_attempts,bill_amount,payment_delay_days,network_latency_ms,packet_loss_percent,download_speed_mbps
110068030,3242.92,100,329.65,9.0,48.54,1.01,99.15
110114618,3274.83,94,255.48,7.0,52.16,0.62,123.77
110123363,2616.49,109,302.85,8.0,52.59,1.17,87.84
110200295,2324.76,97,348.61,6.0,48.47,1.02,99.2
110225474,2391.62,156,440.61,7.0,48.92,0.82,105.96
110334430,3533.67,101,187.75,6.0,52.67,1.14,98.98
110334559,3376.42,100,366.0,10.0,45.1,1.21,94.63
110373752,3626.6,124,311.19,9.0,55.57,1.07,87.98
110397681,2022.83,123,321.09,4.0,47.2,0.98,101.44
110434738,3677.19,136,319.17,8.0,47.96,1.2,88.54
110450720,3447.25,107,369.9,8.0,52.66,0.88,90.04
110473764,2676.8,132,237.68,7.0,50.1,0.88,94.04
110479461,3652.12,96,345.67,6.0,54.91,1.17,105.57
110501361,3401.78,95,391.43,9.0,48.92,0.63,99.12
110534565,3337.81,77,231.28,6.0,47.06,0.97,109.75
110547116,3142.14,107,302.64,6.0,43.82,1.22,89.87
110576805,2781.86,86,329.55,7.0,48.5,1.66,92.82
110582828,3619.54,126,318.86,6.0,50.06,1.35,113.6
110680160,3111.0,167,323.85,9.0,38.55,1.37,100.6
110687128,2413.19,110,335.47,8.0,51.34,1.06,95.54
110719182,3181.3,162,341.39,8.0,51.96,1.05,94.43
110748248,2605.69,131,357.28,6.0,51.42,0.97,99.4
110792162,2695.06,128,387.33,7.0,50.14,0.76,103.46
110851774,3059.3,113,297.47,6.0,45.43,1.1,100.8
110879458,2684.72,155,281.23,8.0,54.0,1.19,98.18
110934112,3380.73,100,230.1,5.0,54.95,0.77,105.39
110934367,3419.19,105,396.42,9.0,54.66,0.99,89.92
110991885,2123.54,99,399.35,8.0,49.62,1.17,92.02
111000796,2557.95,130,197.44,10.0,46.81,0.51,96.58
111045061,2503.16,104,323.54,7.0,45.59,0.65,96.34
111103348,3079.88,105,322.88,4.0,46.31,0.94,107.42
111163463,3853.46,104,190.14,6.0,52.66,0.95,113.06
111189104,3444.28,115,283.82,8.0,46.83,1.19,80.27
111190546,2970.64,115,252.11,6.0,47.54,0.76,98.29
111212221,2154.78,88,362.03,3.0,45.92,0.97,110.44
111273515,3149.79,110,292.45,8.0,55.86,1.21,98.07
111316251,2847.8,130,304.34,6.0,52.55,1.17,95.98
111376594,2754.36,113,304.31,4.0,49.4,1.2,97.93
111432397,3519.66,101,320.06,7.0,52.7,0.78,88.47
111653985,3224.5,85,351.15,7.0,52.09,0.81,91.23
111666496,2298.08,120,235.82,6.0,49.69,1.3,87.46
111708676,2866.48,103,359.42,8.0,47.69,0.87,96.25
111849689,2822.62,133,309.95,7.0,48.48,1.16,104.97
111906287,2156.69,88,307.57,8.0,49.34,1.2,102.43
111947133,2872.99,135,425.68,6.0,50.6,0.8,101.41
111958505,2309.74,115,321.12,10.0,50.68,1.43,103.6
112095690,2705.12,113,267.41,10.0,48.44,0.73,112.89
112191403,2244.5,107,222.97,6.0,50.33,1.25,98.94
112212088,2967.7,103,436.61,7.0,50.73,0.8,112.08
112222203,2826.31,130,331.36,8.0,53.12,1.16,106.19
112248295,4128.98,111,284.72,8.0,44.66,0.73,100.02
112249277,2886.36,114,222.82,6.0,41.61,0.64,84.47
112343950,1905.4,127,339.2,5.0,50.47,1.22,101.61
112497225,3454.38,140,300.41,8.0,44.55,1.24,99.15
112564389,1138.61,127,224.59,6.0,42.41,0.8,97.04
112567262,3467.18,99,236.21,5.0,42.6,0.59,102.8
112590925,2499.37,123,282.1,8.0,50.93,0.97,93.79
112602440,2634.1,56,410.9,3.0,52.54,1.39,96.13
112612768,2859.36,78,298.46,7.0,51.19,0.89,114.78
112629091,3443.98,135,237.89,8.0,46.02,0.95,89.65
112664442,3567.85,124,342.18,4.0,45.48,1.01,102.31
112689710,3366.26,106,208.13,6.0,48.24,1.65,91.65
112715141,3770.06,123,280.33,8.0,53.5,0.95,112.01
112798847,1649.84,83,264.21,8.0,51.05,1.24,91.33
112965825,3267.81,106,271.59,9.0,52.15,1.08,104.96
113005682,2832.81,170,355.97,9.0,51.46,0.92,107.34
113029198,3558.24,110,292.56,12.0,41.7,0.98,109.18
113098232,2625.12,91,179.0,6.0,52.45,0.93,80.98
113113418,3428.8,95,254.41,9.0,53.44,0.82,101.22
113165892,2485.79,99,283.05,8.0,48.09,0.77,109.99
113214080,2714.26,133,319.29,8.0,48.85,1.07,103.77
113242941,3425.14,118,359.85,3.0,48.34,1.03,103.56
113284392,2528.92,173,259.09,6.0,46.45,1.27,105.22
113356735,2173.63,59,190.31,7.0,43.73,1.03,99.32
113416758,2787.75,143,254.78,7.0,49.98,0.55,90.25
113606942,3538.62,127,334.02,6.0,47.56,1.02,99.27
113644483,2731.3,171,267.39,8.0,51.08,0.93,110.27
113694229,2554.27,115,397.2,7.0,49.82,0.86,98.85
113729737,3842.32,114,238.78,10.0,43.97,1.06,98.52
113730398,3611.45,150,150.01,7.0,49.08,1.2,114.37
113754800,3727.27,124,190.18,6.0,55.89,1.17,107.01
113856650,2710.75,120,258.17,10.0,44.67,0.82,101.33
113929135,3498.46,139,310.14,6.0,41.15,1.48,104.59
114120037,2137.26,135,270.84,6.0,49.51,0.83,90.95
114129795,3225.66,143,244.91,6.0,49.58,0.7,97.52
114329898,3450.54,142,254.18,6.0,44.92,1.33,104.81
114354290,4366.46,157,365.75,10.0,51.15,1.28,86.65
